Athlete	Country	NOC	Gender	Sport	Discipline	Event	Event_gender
Shelly-Ann Fraser-Pryce	Jamaica	JAM	Women	Athletics	Athletics	100m	W
Usain Bolt	Jamaica	JAM	Men	Athletics	Athletics	100m	M
Sally Pearson	Australia	AUS	Women	Athletics	Athletics	100m Hurdles	W
Aries Merritt	United States of America	USA	Men	Athletics	Athletics	110m Hurdles	M
Taoufik Makhloufi	Algeria	ALG	Men	Athletics	Athletics	1500m	M
Asli Cakir Alptekin	Turkey	TUR	Women	Athletics	Athletics	1500m	W
Allyson Felix	United States of America	USA	Women	Athletics	Athletics	200m	W
Usain Bolt	Jamaica	JAM	Men	Athletics	Athletics	200m	M
Elena Lashmanova	Russian Federation	RUS	Women	Athletics	Athletics	20km Race Walk	W
Ding Chen	People's Republic of China	CHN	Men	Athletics	Athletics	20km Race Walk	M
Ezekiel Kemboi	Kenya	KEN	Men	Athletics	Athletics	3000m Steeplechase	M
Yuliya Zaripova	Russian Federation	RUS	Women	Athletics	Athletics	3000m Steeplechase	W
Allyson Felix	United States of America	USA	Women	Athletics	Athletics	4 x 100m Relay	W
	Jamaica	JAM	Men	Athletics	Athletics	4 x 100m Relay	M
Tianna Madison	United States of America	USA	Women	Athletics	Athletics	4 x 100m Relay	W
Allyson Felix	United States of America	USA	Women	Athletics	Athletics	4 x 100m Relay	W
Bianca Knight	United States of America	USA	Women	Athletics	Athletics	4 x 100m Relay	W
Carmelita Jeter	United States of America	USA	Women	Athletics	Athletics	4 x 100m Relay	W
Allyson Felix	United States of America	USA	Women	Athletics	Athletics	4 x 400m Relay	W
Sanya Richards-Ross	United States of America	USA	Women	Athletics	Athletics	4 x 400m Relay	W
Chris Brown	Bahamas	BAH	Men	Athletics	Athletics	4 x 400m Relay	M
Demetrius Pinder	Bahamas	BAH	Men	Athletics	Athletics	4 x 400m Relay	M
Michael Mathieu	Bahamas	BAH	Men	Athletics	Athletics	4 x 400m Relay	M
Ramon Miller	Bahamas	BAH	Men	Athletics	Athletics	4 x 400m Relay	M
Kirani James	Grenada	GRN	Men	Athletics	Athletics	400m	M
Sanya Richards-Ross	United States of America	USA	Women	Athletics	Athletics	400m	W
Felix Sanchez	Dominican Republic	DOM	Men	Athletics	Athletics	400m Hurdles	M
Natalya Antyukh	Russian Federation	RUS	Women	Athletics	Athletics	400m Hurdles	W
Sergey Kirdyapkin	Russian Federation	RUS	Men	Athletics	Athletics	50km Race Walk	M
Mohamed Farah	Great Britain	GBR	Men	Athletics	Athletics	5000m	M
Meseret Defar	Ethiopia	ETH	Women	Athletics	Athletics	5000m	W
Mariya Savinova	Russian Federation	RUS	Women	Athletics	Athletics	800m	W
David Lekuta Rudisha	Kenya	KEN	Men	Athletics	Athletics	800m	M
Stephen Kiprotich	Uganda	UGA	Men	Athletics	Athletics	Marathon	M
Ashton Eaton	United States of America	USA	Men	Athletics	Athletics	Decathlon	M
Robert Harting	Germany	GER	Men	Athletics	Athletics	Discus Throw	M
Sandra Perkovic	Croatia	CRO	Women	Athletics	Athletics	Discus Throw	W
Krisztian Pars	Hungary	HUN	Men	Athletics	Athletics	Hammer Throw	M
Tatyana Lysenko	Russian Federation	RUS	Women	Athletics	Athletics	Hammer Throw	W
Jessica Ennis	Great Britain	GBR	Women	Athletics	Athletics	Heptathlon	W
Anna Chicherova	Russian Federation	RUS	Women	Athletics	Athletics	High Jump	W
Ivan Ukhov	Russian Federation	RUS	Men	Athletics	Athletics	High Jump	M
Keshorn Walcott	Trinidad and Tobago	TRI	Men	Athletics	Athletics	Javelin Throw	M
Barbora Spotakova	Czech Republic	CZE	Women	Athletics	Athletics	Javelin Throw	W
Brittney Reese	United States of America	USA	Women	Athletics	Athletics	Long Jump	W
Greg Rutherford	Great Britain	GBR	Men	Athletics	Athletics	Long Jump	M
Tiki Gelana	Ethiopia	ETH	Women	Athletics	Athletics	Marathon	W
Jennifer Suhr	United States of America	USA	Women	Athletics	Athletics	Pole Vault	W
Renaud Lavillenie	France	FRA	Men	Athletics	Athletics	Pole Vault	M
Valerie Adams	New Zealand	NZL	Women	Athletics	Athletics	Shot Put	W
Tomasz Majewski	Poland	POL	Men	Athletics	Athletics	Shot Put	M
Christian Taylor	United States of America	USA	Men	Athletics	Athletics	Triple Jump	M
Olga Rypakova	Kazakhstan	KAZ	Women	Athletics	Athletics	Triple Jump	W
Haifeng Fu	People's Republic of China	CHN	Men	Badminton	Badminton	Doubles	M
Qing Tian	People's Republic of China	CHN	Women	Badminton	Badminton	Doubles	W
Yun Cai	People's Republic of China	CHN	Men	Badminton	Badminton	Doubles	M
Yunlei Zhao	People's Republic of China	CHN	Women	Badminton	Badminton	Doubles	W
Nan Zhang	People's Republic of China	CHN	Men	Badminton	Badminton	Mixed Doubles	X
Yunlei Zhao	People's Republic of China	CHN	Women	Badminton	Badminton	Mixed Doubles	X
Dan Lin	People's Republic of China	CHN	Men	Badminton	Badminton	Singles	M
Xuerui Li	People's Republic of China	CHN	Women	Badminton	Badminton	Singles	W
	United States of America	USA	Men	Basketball	Basketball	basketball	M
	United States of America	USA	Women	Basketball	Basketball	basketball	W
Luke Campbell	Great Britain	GBR	Men	Boxing	Boxing	Bantam (56kg)	M
Nicola Adams	Great Britain	GBR	Women	Boxing	Boxing	Fly (51kg)	W
Robeisy Ramirez Carrazana	Cuba	CUB	Men	Boxing	Boxing	Fly (52kg)	M
Oleksandr Usyk	Ukraine	UKR	Men	Boxing	Boxing	Heavy (91kg)	M
Vasyl Lomachenko	Ukraine	UKR	Men	Boxing	Boxing	Light (60kg)	M
Katie Taylor	Ireland	IRL	Women	Boxing	Boxing	Light 60kg	W
Shiming Zou	People's Republic of China	CHN	Men	Boxing	Boxing	Light Fly (49kg)	M
Egor Mekhontcev	Russian Federation	RUS	Men	Boxing	Boxing	Light Heavy (81kg)	M
Roniel Iglesias Sotolongo	Cuba	CUB	Men	Boxing	Boxing	Light Welter (64kg)	M
Claressa Shields	United States of America	USA	Women	Boxing	Boxing	Middle (75kg)	W
Ryota Murata	Japan	JPN	Men	Boxing	Boxing	Middle (75kg)	M
Anthony Joshua	Great Britain	GBR	Men	Boxing	Boxing	Super Heavy (+91kg)	M
Serik Sapiyev	Kazakhstan	KAZ	Men	Boxing	Boxing	Welter (69kg)	M
Etienne Stott	Great Britain	GBR	Men	Canoe / Kayak	Canoe Slalom	Canoe Double (C2)	M
Tim Baillie	Great Britain	GBR	Men	Canoe / Kayak	Canoe Slalom	Canoe Double (C2)	M
Tony Estanguet	France	FRA	Men	Canoe / Kayak	Canoe Slalom	Canoe Single (C1)	M
Daniele Molmenti	Italy	ITA	Men	Canoe / Kayak	Canoe Slalom	Kayak (K1)	M
Emilie Fer	France	FRA	Women	Canoe / Kayak	Canoe Slalom	Kayak (K1)	W
Yuriy Cheban	Ukraine	UKR	Men	Canoe / Kayak	Canoe Sprint	Canoe Single (C1) 200m	M
Ed McKeever	Great Britain	GBR	Men	Canoe / Kayak	Canoe Sprint	Kayak Single (K1) 200m	M
Lisa Carrington	New Zealand	NZL	Women	Canoe / Kayak	Canoe Sprint	Kayak Single (K1) 200m	W
Alexander Dyachenko	Russian Federation	RUS	Men	Canoe / Kayak	Canoe Sprint	Kayak Double (K2) 200m	M
Yury Postrigay	Russian Federation	RUS	Men	Canoe / Kayak	Canoe Sprint	Kayak Double (K2) 200m	M
Kurt Kuschela	Germany	GER	Men	Canoe / Kayak	Canoe Sprint	Canoe Double (C2) 1000m	M
Peter Kretschmer	Germany	GER	Men	Canoe / Kayak	Canoe Sprint	Canoe Double (C2) 1000m	M
Sebastian Brendel	Germany	GER	Men	Canoe / Kayak	Canoe Sprint	Canoe Single (C1) 1000m	M
Roland Kokeny	Hungary	HUN	Men	Canoe / Kayak	Canoe Sprint	Kayak Double (K2) 1000m	M
Rudolf Dombi	Hungary	HUN	Men	Canoe / Kayak	Canoe Sprint	Kayak Double (K2) 1000m	M
Franziska Weber	Germany	GER	Women	Canoe / Kayak	Canoe Sprint	Kayak Double (K2) 500m	W
Tina Dietze	Germany	GER	Women	Canoe / Kayak	Canoe Sprint	Kayak Double (K2) 500m	W
Dave Smith	Australia	AUS	Men	Canoe / Kayak	Canoe Sprint	Kayak Four (K4) 1000m	M
Jacob Clear	Australia	AUS	Men	Canoe / Kayak	Canoe Sprint	Kayak Four (K4) 1000m	M
Murray Stewart	Australia	AUS	Men	Canoe / Kayak	Canoe Sprint	Kayak Four (K4) 1000m	M
Tate Smith	Australia	AUS	Men	Canoe / Kayak	Canoe Sprint	Kayak Four (K4) 1000m	M
Danuta Kozak	Hungary	HUN	Women	Canoe / Kayak	Canoe Sprint	Kayak Four (K4) 500m	W
Gabriella Szabo	Hungary	HUN	Women	Canoe / Kayak	Canoe Sprint	Kayak Four (K4) 500m	W
Katalin Kovacs	Hungary	HUN	Women	Canoe / Kayak	Canoe Sprint	Kayak Four (K4) 500m	W
Krisztina Fazekas	Hungary	HUN	Women	Canoe / Kayak	Canoe Sprint	Kayak Four (K4) 500m	W
Eirik Veras Larsen	Norway	NOR	Men	Canoe / Kayak	Canoe Sprint	Kayak Single (K1) 1000m	M
Danuta Kozak	Hungary	HUN	Women	Canoe / Kayak	Canoe Sprint	Kayak Single (K1) 500m	W
Mariana Pajon	Colombia	COL	Women	Cycling	BMX	BMX	W
Maris Strombergs	Latvia	LAT	Men	Cycling	BMX	BMX	M
Bradley Wiggins	Great Britain	GBR	Men	Cycling	Cycling Road	Individual Time Trial	M
Kristin Armstrong	United States of America	USA	Women	Cycling	Cycling Road	Individual Time Trial	W
Alexandr Vinokurov	Kazakhstan	KAZ	Men	Cycling	Cycling Road	Road Race	M
Marianne Vos	Netherlands	NED	Women	Cycling	Cycling Road	Road Race	W
Chris Hoy	Great Britain	GBR	Men	Cycling	Cycling Track	Keirin	M
Victoria Pendleton	Great Britain	GBR	Women	Cycling	Cycling Track	Keirin	W
Lasse Norman Hansen	Denmark	DEN	Men	Cycling	Cycling Track	Omnium	M
Laura Trott	Great Britain	GBR	Women	Cycling	Cycling Track	Omnium	W
Anna Meares	Australia	AUS	Women	Cycling	Cycling Track	Sprint	W
Jason Kenny	Great Britain	GBR	Men	Cycling	Cycling Track	Sprint	M
Dani King	Great Britain	GBR	Women	Cycling	Cycling Track	Team Pursuit	W
Edward Clancy	Great Britain	GBR	Men	Cycling	Cycling Track	Team Pursuit	M
Geraint Thomas	Great Britain	GBR	Men	Cycling	Cycling Track	Team Pursuit	M
Joanna Rowsell	Great Britain	GBR	Women	Cycling	Cycling Track	Team Pursuit	W
Laura Trott	Great Britain	GBR	Women	Cycling	Cycling Track	Team Pursuit	W
Peter Kennaugh	Great Britain	GBR	Men	Cycling	Cycling Track	Team Pursuit	M
Steven Burke	Great Britain	GBR	Men	Cycling	Cycling Track	Team Pursuit	M
Chris Hoy	Great Britain	GBR	Men	Cycling	Cycling Track	Team Sprint	M
Jason Kenny	Great Britain	GBR	Men	Cycling	Cycling Track	Team Sprint	M
Kristina Vogel	Germany	GER	Women	Cycling	Cycling Track	Team Sprint	W
Miriam Welte	Germany	GER	Women	Cycling	Cycling Track	Team Sprint	W
Philip Hindes	Great Britain	GBR	Men	Cycling	Cycling Track	Team Sprint	M
Jaroslav Kulhavy	Czech Republic	CZE	Men	Cycling	Mountain Bike	cross-country	M
Julie Bresset	France	FRA	Women	Cycling	Mountain Bike	cross-country	W
Charlotte Dujardin	Great Britain	GBR	Women	Equestrian	Dressage	Individual Dressage	X
Carl Hester	Great Britain	GBR	Men	Equestrian	Dressage	Team Dressage	X
Charlotte Dujardin	Great Britain	GBR	Women	Equestrian	Dressage	Team Dressage	X
Laura Bechtolsheimer	Great Britain	GBR	Women	Equestrian	Dressage	Team Dressage	X
Steve Guerdat	Switzerland	SUI	Men	Equestrian	Jumping	Individual Jumping	X
Dirk Schrade	Germany	GER	Men	Equestrian	Eventing	Team Eventing	X
Ingrid Klimke	Germany	GER	Women	Equestrian	Eventing	Team Eventing	X
Peter Thomsen	Germany	GER	Men	Equestrian	Eventing	Team Eventing	X
Sandra Auffarth	Germany	GER	Women	Equestrian	Eventing	Team Eventing	X
Michael Jung	Germany	GER	Men	Equestrian	Eventing	Individual Eventing	X
Ben Maher	Great Britain	GBR	Men	Equestrian	Jumping	Team Jumping	X
Nick Skelton	Great Britain	GBR	Men	Equestrian	Jumping	Team Jumping	X
Peter Charles	Great Britain	GBR	Men	Equestrian	Jumping	Team Jumping	X
Scott Brash	Great Britain	GBR	Men	Equestrian	Jumping	Team Jumping	X
Ruben Limardo Gascon	Venezuela	VEN	Men	Fencing	Fencing	Individual Epee	M
Yana Shemyakina	Ukraine	UKR	Women	Fencing	Fencing	Individual Epee	W
Lei Sheng	People's Republic of China	CHN	Men	Fencing	Fencing	Individual Foil	M
Elisa Di Francisca	Italy	ITA	Women	Fencing	Fencing	Individual Foil	W
Aron Szilagyi	Hungary	HUN	Men	Fencing	Fencing	Individual Sabre	M
Jiyeon Kim	Republic of Korea	KOR	Women	Fencing	Fencing	Individual Sabre	W
Na Li	People's Republic of China	CHN	Women	Fencing	Fencing	Team Epee	W
Yujie Sun	People's Republic of China	CHN	Women	Fencing	Fencing	Team Epee	W
Andrea Baldini	Italy	ITA	Men	Fencing	Fencing	Team Foil	M
Andrea Cassara	Italy	ITA	Men	Fencing	Fencing	Team Foil	M
Arianna Errigo	Italy	ITA	Women	Fencing	Fencing	Team Foil	W
Elisa Di Francisca	Italy	ITA	Women	Fencing	Fencing	Team Foil	W
Giorgio Avola	Italy	ITA	Men	Fencing	Fencing	Team Foil	M
Valentina Vezzali	Italy	ITA	Women	Fencing	Fencing	Team Foil	W
Bongil Gu	Republic of Korea	KOR	Men	Fencing	Fencing	Team Sabre	M
Junghwan Kim	Republic of Korea	KOR	Men	Fencing	Fencing	Team Sabre	M
Woo Young Won	Republic of Korea	KOR	Men	Fencing	Fencing	Team Sabre	M
	Germany	GER	Men	Hockey	Hockey	hockey	M
	Netherlands	NED	Women	Hockey	Hockey	hockey	W
	Mexico	MEX	Men	Football	Football	football	M
Abby Wambach	United States of America	USA	Women	Football	Football	football	W
Alex Morgan	United States of America	USA	Women	Football	Football	football	W
Amy Le Peilbet	United States of America	USA	Women	Football	Football	football	W
Carli Lloyd	United States of America	USA	Women	Football	Football	football	W
Christie Rampone	United States of America	USA	Women	Football	Football	football	W
Hope Solo	United States of America	USA	Women	Football	Football	football	W
Kelley O'Hara	United States of America	USA	Women	Football	Football	football	W
Megan Rapinoe	United States of America	USA	Women	Football	Football	football	W
Rachel Buehler	United States of America	USA	Women	Football	Football	football	W
Shannon Boxx	United States of America	USA	Women	Football	Football	football	W
Tobin Heath	United States of America	USA	Women	Football	Football	football	W
Linlin Deng	People's Republic of China	CHN	Women	Gymnastics	Artistic G.	Balance Beam	W
Kai Zou	People's Republic of China	CHN	Men	Gymnastics	Artistic G.	Floor	M
Alexandra Raisman	United States of America	USA	Women	Gymnastics	Artistic G.	Floor Exercise	W
Epke Zonderland	Netherlands	NED	Men	Gymnastics	Artistic G.	Horizontal Bar	M
Gabrielle Douglas	United States of America	USA	Women	Gymnastics	Artistic G.	Individual All-Around	W
Kohei Uchimura	Japan	JPN	Men	Gymnastics	Artistic G.	Individual all-around	M
Zhe Feng	People's Republic of China	CHN	Men	Gymnastics	Artistic G.	Parallel Bars	M
Krisztian Berki	Hungary	HUN	Men	Gymnastics	Artistic G.	Pommel Horse	M
Arthur Nabarrete Zanetti	Brazil	BRA	Men	Gymnastics	Artistic G.	Rings	M
Alexandra Raisman	United States of America	USA	Women	Gymnastics	Artistic G.	Team	W
Chenglong Zhang	People's Republic of China	CHN	Men	Gymnastics	Artistic G.	Team	M
Gabrielle Douglas	United States of America	USA	Women	Gymnastics	Artistic G.	Team	W
Jordyn Wieber	United States of America	USA	Women	Gymnastics	Artistic G.	Team	W
Kai Zou	People's Republic of China	CHN	Men	Gymnastics	Artistic G.	Team	M
Kyla Ross	United States of America	USA	Women	Gymnastics	Artistic G.	Team	W
Mc Kayla Maroney	United States of America	USA	Women	Gymnastics	Artistic G.	Team	W
Weiyang Guo	People's Republic of China	CHN	Men	Gymnastics	Artistic G.	Team	M
Yibing Chen	People's Republic of China	CHN	Men	Gymnastics	Artistic G.	Team	M
Zhe Feng	People's Republic of China	CHN	Men	Gymnastics	Artistic G.	Team	M
Aliya Mustafina	Russian Federation	RUS	Women	Gymnastics	Artistic G.	uneven bars	W
Hak Seon Yang	Republic of Korea	KOR	Men	Gymnastics	Artistic G.	Vault	M
Sandra Raluca Izbasa	Romania	ROM	Women	Gymnastics	Artistic G.	Vault	W
Dong Dong	People's Republic of China	CHN	Men	Gymnastics	Trampoline	Trampoline	M
Rosannagh Maclennan	Canada	CAN	Women	Gymnastics	Trampoline	Trampoline	W
	Russian Federation	RUS	Women	Gymnastics	Rhythmic G.	group competition	W
YevGeniya Kanayeva	Russian Federation	RUS	Women	Gymnastics	Rhythmic G.	individual all-round	W
	France	FRA	Men	Handball	Handball	handball	M
	Norway	NOR	Women	Handball	Handball	handball	W
Tagir Khaibulaev	Russian Federation	RUS	Men	Judo	Judo	-100kg	M
Sarah Menezes	Brazil	BRA	Women	Judo	Judo	-48kg	W
Kum Ae An	Democratic People's Republic of Korea	PRK	Women	Judo	Judo	-52kg	W
Kaori Matsumoto	Japan	JPN	Women	Judo	Judo	-57kg	W
Arsen Galstyan	Russian Federation	RUS	Men	Judo	Judo	-60kg	M
Urska Zolnir	Slovenia	SLO	Women	Judo	Judo	-63kg	W
Lasha Shavdatuashvili	Georgia	GEO	Men	Judo	Judo	-66kg	M
Lucie Decosse	France	FRA	Women	Judo	Judo	-70kg	W
Mansur Isaev	Russian Federation	RUS	Men	Judo	Judo	-73kg	M
Kayla Harrison	United States of America	USA	Women	Judo	Judo	-78kg	W
Jae-Bum Kim	Republic of Korea	KOR	Men	Judo	Judo	-81kg	M
Dae-Nam Song	Republic of Korea	KOR	Men	Judo	Judo	-90kg	M
Teddy Riner	France	FRA	Men	Judo	Judo	+100kg	M
Idalys Ortiz	Cuba	CUB	Women	Judo	Judo	+78kg	W
David Svoboda	Czech Republic	CZE	Men	Modern Pentathlon	Modern Pentath.	Individual competition	M
Laura Asadauskaite	Lithuania	LTU	Women	Modern Pentathlon	Modern Pentath.	Individual competition	W
Anna Watkins	Great Britain	GBR	Women	Rowing	Rowing	Double Sculls	W
Joseph Sullivan	New Zealand	NZL	Men	Rowing	Rowing	Double Sculls	M
Katherine Grainger	Great Britain	GBR	Women	Rowing	Rowing	Double Sculls	W
Nathan Cohen	New Zealand	NZL	Men	Rowing	Rowing	Double Sculls	M
Andreas Kuffner	Germany	GER	Men	Rowing	Rowing	Eight	M
Caroline Lind	United States of America	USA	Women	Rowing	Rowing	Eight	W
Caryn Davies	United States of America	USA	Women	Rowing	Rowing	Eight	W
Eleanor Logan	United States of America	USA	Women	Rowing	Rowing	Eight	W
Eric Johannesen	Germany	GER	Men	Rowing	Rowing	Eight	M
Erin Cafaro	United States of America	USA	Women	Rowing	Rowing	Eight	W
Esther Lofgren	United States of America	USA	Women	Rowing	Rowing	Eight	W
Filip Adamski	Germany	GER	Men	Rowing	Rowing	Eight	M
Florian Mennigen	Germany	GER	Men	Rowing	Rowing	Eight	M
Kristof Wilke	Germany	GER	Men	Rowing	Rowing	Eight	M
Lukas Mueller	Germany	GER	Men	Rowing	Rowing	Eight	M
Martin Sauer	Germany	GER	Men	Rowing	Rowing	Eight	M
Mary Whipple	United States of America	USA	Women	Rowing	Rowing	Eight	W
Maximilian Reinelt	Germany	GER	Men	Rowing	Rowing	Eight	M
Meghan Musnicki	United States of America	USA	Women	Rowing	Rowing	Eight	W
Richard Schmidt	Germany	GER	Men	Rowing	Rowing	Eight	M
Taylor Ritzel	United States of America	USA	Women	Rowing	Rowing	Eight	W
Zsuzsanna Francia	United States of America	USA	Women	Rowing	Rowing	Eight	W
Alex Gregory	Great Britain	GBR	Men	Rowing	Rowing	Four	M
Andrew Triggs Hodge	Great Britain	GBR	Men	Rowing	Rowing	Four	M
Pete Reed	Great Britain	GBR	Men	Rowing	Rowing	Four	M
Tom James	Great Britain	GBR	Men	Rowing	Rowing	Four	M
Katherine Copeland	Great Britain	GBR	Women	Rowing	Rowing	Lightweight Double Sculls	W
